id,scenario,humanCollisions,staticCollisions,offRoute,wrongLane,redLights,timeLeft,routeCompleted,finalScore,finalScore_sort
262027,Town03GasStation,0,0,0,1,0,60,100,5779,0000194221
262028,Town03GasStation,0,0,174,0,0,77,100,-9704,0000209704
262031,Town03TrainTrack,1,0,0,0,0,50,100,-42,0000200042
262033,Town04ParkingLot,2,1,0,4,0,47,100,-6666,0000206666
262036,Town07Farm,1,2,0,9,0,44,100,-3462,0000203462
271443,Town04ParkingLot,2,14,1778,8,0,6,100,-195881,0000395881
271521,Town04ParkingLot,4,3,232,8,0,27,100,-43612,0000243612
271522,Town04ParkingLot,1,1,117,1,0,64,100,-11069,0000211069
271525,Town04ParkingLot,0,4,280,1,0,73,100,-22980,0000222980
271528,Town04ParkingLot,1,1,128,5,0,78,100,-11526,0000211526
271531,Town04ParkingLot,1,1,217,2,0,82,100,-19452,0000219452
271532,Town04ParkingLot,1,2,111,5,0,76,100,-10594,0000210594
271544,Town04ParkingLot,1,0,88,1,0,73,100,-6708,0000206708
271546,Town04ParkingLot,1,0,224,2,0,80,100,-19863,0000219863
271548,Town04ParkingLot,1,0,113,0,0,77,100,-8697,0000208697
271550,Town04ParkingLot,1,3,89,0,0,83,100,-7188,0000207188
271553,Town04ParkingLot,0,0,0,0,0,0,0,-10001,0000210001
271608,Town04ParkingLot,1,4,213,1,0,73,100,-21288,0000221288
271609,Town04ParkingLot,1,2,108,1,0,82,100,-8812,0000208812
271612,Town04ParkingLot,0,1,125,4,0,84,100,-5407,0000205407
271614,Town04ParkingLot,1,2,86,1,0,77,100,-7176,0000207176
271615,Town04ParkingLot,0,2,98,1,0,81,100,-2921,0000202921
271625,Town04ParkingLot,1,2,288,3,0,78,100,-27689,0000227689
271652,Town04ParkingLot,0,0,0,0,0,0,0,-10001,0000210001
271659,Town04ParkingLot,1,7,756,8,0,45,100,-81253,0000281253
271702,Town04ParkingLot,0,8,453,2,0,73,100,-42462,0000242462
271704,Town04ParkingLot,0,2,185,2,0,81,100,-11862,0000211862
271706,Town04ParkingLot,1,3,95,0,0,77,100,-8350,0000208350
271713,Town04ParkingLot,3,2,139,0,0,69,100,-23065,0000223065
271722,Town04ParkingLot,0,4,112,2,0,74,100,-6282,0000206282
271726,Town04ParkingLot,0,3,118,4,0,75,100,-6632,0000206632
271728,Town04ParkingLot,0,15,480,3,0,22,100,-53999,0000253999
271729,Town04ParkingLot,0,2,200,5,0,84,100,-13687,0000213687
271731,Town04ParkingLot,0,15,274,2,0,60,100,-29388,0000229388
271733,Town04ParkingLot,0,1,172,2,0,86,100,-9527,0000209527
271736,Town04ParkingLot,0,1,154,4,0,86,100,-8166,0000208166
271737,Town04ParkingLot,0,0,183,4,0,73,100,-11813,0000211813
271740,Town04ParkingLot,0,1,173,2,0,83,100,-9910,0000209910
271744,Town04ParkingLot,0,1,159,3,0,78,100,-9256,0000209256
271746,Town04ParkingLot,0,0,168,2,0,86,100,-8657,0000208657
271747,Town04ParkingLot,0,1,165,3,0,87,100,-8979,0000208979
271749,Town04ParkingLot,0,3,169,3,0,81,100,-10982,0000210982
271755,Town04ParkingLot,0,1,158,3,0,87,100,-8201,0000208201
271757,Town04ParkingLot,0,0,192,2,0,66,100,-13049,0000213049
271800,Town04ParkingLot,0,1,173,3,0,80,100,-10493,0000210493
271801,Town04ParkingLot,0,1,170,3,0,84,100,-9719,0000209719
271810,Town04ParkingLot,0,2,197,2,0,83,100,-12817,0000212817
271811,Town04ParkingLot,0,2,189,4,0,80,100,-12718,0000212718
271814,Town04ParkingLot,0,1,157,4,0,85,100,-8511,0000208511
271816,Town04ParkingLot,1,3,135,4,0,78,100,-13028,0000213028
271819,Town04ParkingLot,2,1,0,6,0,49,100,-6830,0000206830
271821,Town04ParkingLot,1,4,333,2,0,66,100,-34141,0000234141
271824,Town04ParkingLot,0,2,390,5,0,71,100,-33976,0000233976
271826,Town04ParkingLot,0,1,277,4,0,75,100,-21545,0000221545
271829,Town04ParkingLot,5,7,277,5,0,29,100,-54305,0000254305
271836,Town04ParkingLot,1,2,175,2,0,76,100,-16322,0000216322
271837,Town04ParkingLot,1,5,98,1,0,79,100,-9636,0000209636
271839,Town04ParkingLot,1,2,102,1,0,82,100,-8280,0000208280
271842,Town04ParkingLot,0,0,104,0,0,83,100,-2132,0000202132
271844,Town04ParkingLot,0,0,169,5,0,84,100,-9543,0000209543
271846,Town04ParkingLot,0,0,159,5,0,86,100,-8351,0000208351
271848,Town04ParkingLot,1,4,688,11,0,51,100,-72974,0000272974
271852,Town04ParkingLot,3,8,515,7,0,33,100,-68696,0000268696
271854,Town04ParkingLot,2,4,764,10,0,45,100,-85947,0000285947
271855,Town04ParkingLot,3,0,120,1,0,60,100,-21249,0000221249
271857,Town04ParkingLot,1,6,423,4,0,54,100,-45793,0000245793
271902,Town04ParkingLot,1,6,1186,18,0,47,100,-125577,0000325577
271905,Town04ParkingLot,2,0,605,13,0,30,100,-70108,0000270108
271909,Town04ParkingLot,0,4,26,8,0,57,100,-599,0000200599
271911,Town04ParkingLot,1,4,653,9,0,46,100,-69578,0000269578
271915,Town04ParkingLot,0,1,711,10,0,58,100,-67872,0000267872
271917,Town04ParkingLot,1,5,121,8,0,57,100,-15558,0000215558
271920,Town04ParkingLot,1,1,758,7,0,55,100,-77274,0000277274
271921,Town04ParkingLot,0,1,232,4,0,83,100,-16267,0000216267
271925,Town04ParkingLot,1,2,135,2,0,64,100,-13503,0000213503
271927,Town04ParkingLot,0,3,701,11,0,51,100,-68701,0000268701
271930,Town04ParkingLot,1,7,686,9,0,45,100,-74462,0000274462
271933,Town04ParkingLot,0,1,160,3,0,86,100,-8586,0000208586
272018,Town01Restaurant,3,1,0,6,0,25,100,-14246,0000214246
272023,Town03GasStation,0,0,0,0,0,60,100,5928,0000194072
272026,Town03TrainTrack,1,2,0,0,0,28,100,-3256,0000203256
272034,Town03TrainTrack,2,16,839,0,0,28,100,-99118,0000299118
272036,Town04ParkingLot,1,0,0,0,0,43,100,-743,0000200743
272039,Town07Farm,0,2,0,0,0,34,100,2371,0000197629
